 Mesh
 Dimension:            3
 Lx =    1.00000000     ; Ly =    1.00000000     ; Lz =    1.00000000    
 Nx =            3 ; Ny =            3 ; Nz =            3
 Nodes: 
 Vector           65 ; X:   0.500000000     ; Y:   0.666666687     ; Z:    1.00000000    
 Vector           66 ; X:   0.833333373     ; Y:   0.666666687     ; Z:    0.00000000    
 Vector           67 ; X:   0.833333373     ; Y:   0.666666687     ; Z:   0.166666672    
 Vector           68 ; X:   0.833333373     ; Y:   0.666666687     ; Z:   0.500000000    
 Vector           69 ; X:   0.833333373     ; Y:   0.666666687     ; Z:   0.833333373    
 Vector           70 ; X:   0.833333373     ; Y:   0.666666687     ; Z:    1.00000000    
 Vector           71 ; X:    1.00000000     ; Y:   0.666666687     ; Z:    0.00000000    
 Vector           72 ; X:    1.00000000     ; Y:   0.666666687     ; Z:   0.166666672    
 Vector           73 ; X:    1.00000000     ; Y:   0.666666687     ; Z:   0.500000000    
 Vector           74 ; X:    1.00000000     ; Y:   0.666666687     ; Z:   0.833333373    
 Vector           75 ; X:    1.00000000     ; Y:   0.666666687     ; Z:    1.00000000    
 Vector           76 ; X:    0.00000000     ; Y:    1.00000000     ; Z:    0.00000000    
 Vector           77 ; X:    0.00000000     ; Y:    1.00000000     ; Z:   0.166666672    
 Vector           78 ; X:    0.00000000     ; Y:    1.00000000     ; Z:   0.500000000    
 Vector           79 ; X:    0.00000000     ; Y:    1.00000000     ; Z:   0.833333373    
 Vector           80 ; X:    0.00000000     ; Y:    1.00000000     ; Z:    1.00000000    
 Vector           81 ; X:   0.166666672     ; Y:    1.00000000     ; Z:    0.00000000    
 Vector           82 ; X:   0.166666672     ; Y:    1.00000000     ; Z:   0.166666672    
 Vector           83 ; X:   0.166666672     ; Y:    1.00000000     ; Z:   0.500000000    
 Vector           84 ; X:   0.166666672     ; Y:    1.00000000     ; Z:   0.833333373    
 Vector           85 ; X:   0.166666672     ; Y:    1.00000000     ; Z:    1.00000000    
 Vector           86 ; X:   0.500000000     ; Y:    1.00000000     ; Z:    0.00000000    
 Vector           87 ; X:   0.500000000     ; Y:    1.00000000     ; Z:   0.166666672    
 Vector           88 ; X:   0.500000000     ; Y:    1.00000000     ; Z:   0.500000000    
 Vector           89 ; X:   0.500000000     ; Y:    1.00000000     ; Z:   0.833333373    
 Vector           90 ; X:   0.500000000     ; Y:    1.00000000     ; Z:    1.00000000    
